"filename", "language", "JSON", "JSON with Comments", "Markdown", "HTML", "Vue", "TypeScript", "SCSS", "JavaScript", "wxml", "CSS", "XML", "comment", "blank", "total"
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\components\Options\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\components\Price\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\components\Price\index.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\components\Price\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\components\Price\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\node-modules\@dcloudio\uni-components\lib\unicloud-db\unicloud-db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\node-modules\@dcloudio\uni-components\lib\unicloud-db\unicloud-db.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\node-modules\@dcloudio\uni-components\lib\unicloud-db\unicloud-db.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\node-modules\@dcloudio\uni-components\lib\unicloud-db\unicloud-db.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\GenshinImpact\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\GenshinImpact\index.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\GenshinImpact\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\GenshinImpact\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\LeagueofLegend\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\LeagueofLegend\index.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\LeagueofLegend\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\LeagueofLegend\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\yzc\Desktop\game-trade\dist\build\mp-weixin\pages\Consignment\index.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
